Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2021-01-20,0,"Canada's flagship air carrier has posted a $1.16-billion loss for the fourth quarter of 2020, a result that caps off what the company's chief executive officer (CEO) ...","Air Canada (TSX:AC). Up $1.09, or 4.9 per cent, to $23.42. Air Canada's acquisition of Transat AT Inc. is up in the air after Canada's largest airline said it will not ...","Although some international travelers are being allowed to fly to Canada, new measures for those arriving to Canada's air and land ports of entry have been ...","Record cold temps in the states are surging the energy sector while the global markets eye vaccine updates, and Air Canada is close to a deal with Ottawa to ...","12: Air Canada flight 311 from Montreal to Vancouver. Domestic travellers are not required to quarantine in B.C., but health officials have advised against non- ...","(Reuters) - Air Canada won't extend a Feb. 15 deadline for its C$188.7 million ($148.73 million) takeover of Transat A.T., the Canadian tour operator said on ...",Canadian tour operator Transat A.T. Inc said on Tuesday Air Canada had refused to extend the deadline for its C$188.7 million ($148.73 million) takeover deal ...,Canadian media executive Pierre Karl Peladeau said he's ready to step in and buy Transat AT Inc. now that the vacation company's takeover by Air Canada is ...,Air Canada a maintenant le loisir d'abandonner son projet d'acheter Air Transat avec le dépassement de la date butoir pour clôture de la transaction qui avait ...,"Purchase by Air Canada is in jeopardy after missed deadline · Onex deal would face fewer antitrust issues, analyst writes."
2021-01-21,0,Canadian media executive Pierre Karl Peladeau said he's ready to step in and buy Transat AT Inc. now that the vacation company's takeover by Air Canada is ...,Air Canada a maintenant le loisir d'abandonner son projet d'acheter Air Transat avec le dépassement de la date butoir pour clôture de la transaction qui avait ...,"Purchase by Air Canada is in jeopardy after missed deadline · Onex deal would face fewer antitrust issues, analyst writes.","Did you travel on Air Canada Flight 7484 that departed Toronto Thursday, February 11 & arrived in Deer Lake on Friday, February 12? If so, please arrange ...","M1 was able to quickly achieve MACH 5 due to Air Canada's mentorship. Calin Rovinescu's vision and leadership, along with Richard Steer, Michael Rousseau, ...",Canadian tour operator Transat A.T. Inc said on Tuesday Air Canada had refused to extend the deadline for its C$188.7 million ($148.73 million) takeover deal ...,"Air Canada (TSX:AC). Up $1.09, or 4.9 per cent, to $23.42. Air Canada's acquisition of Transat AT Inc. is up in the air after Canada's largest airline said it will not ...","Finally, with a direct Air Canada flight to Montréal, passengers from Nice can get the bulk of the travelling out of the way before connecting onto the Canadian ...","NAV CANADA has recently put Air Traffic Control towers at several sites including YQR under review, with the potential of a closure or reduction to this crucial ...",Canadian tour operator Transat A.T. Inc said on Tuesday Air Canada had refused to extend the deadline for its C$188.7 million ($148.73 million) takeover deal ...
2021-01-22,1,12 as a first step in a three-phase procurement process to replace the Royal Canadian Air Force (RCAF) CC-150 Polaris strategic airlift fleet. The RCAF is looking ...,"... FedEx, Nippon Express, World Courier, SF Express, Panalpina, CEVA, Agility, DSV, Kerry Logistics, CH Robinson, VersaCold, Marken, Air Canada Cargo.","During the conference, Prime Minister Trudeau also announced that “The government and Canada's main airlines have agreed to suspend air services to sun ...","The Arctic air is forecast to retreat all the way back to far northern Canada. I think we are pretty much in agreement here, this is a good thing. Warmer days are ...",Transat A.T. disclosed this morning that it's been informed Air Canada will not negotiate an extension of the Feb. 15 outside date to wrap up its takeover ...,"walks away from its deal with Air Canada. In a statement released last night on Twitter, PKP declared he still has the means and the desire to buy Transat and ...","Companies like Rogers, Air Canada and MLSE are also involved in their own similar pilot projects. Advertisement. Story continues below. This advertisement has ...","Pfizer ships vaccine doses from its Puurs, Belgium facility through Louisville on to Canadian destinations by air. ""Unfortunately, the inclement weather in the U.S. ...","Rows 6 - 12 of Air Canada flight number 8239, according to the BCCDC's list of flight exposures. Ben Bogstie, Local Journalism Initiative Reporter, The Interior ...","Weatherill's appointment comes on the heels of Air Canada's takeover deal of ... WestJet, along with Canada, Sunwing and Transat, has also agreed to cancel ..."
2021-01-25,0,"Recently, the Canadian government and some of the country's airlines — Air Canada, WestJet, Sunwing, and Air Transat — agreed to cancel flights to Mexico and ...","February 10: Air Canada 8550, Vancouver to Regina;; February 10: Canadian North 5T1501, Terrace to Edmonton;; February 11: Air Canada 114, Vancouver to ...",Montreal – The International Air Transport Association (IATA) recognizes that the immediate focus of the Government of Canada is limiting the spread of ...,"Recently, the Canadian government and some of the country's airlines — Air Canada, WestJet, Sunwing, and Air Transat — agreed to cancel flights to Mexico and ...","That required a clandestine “practice” at the Air Canada Centre late in the 2015-16 season, a night the Leafs were off, the ice was in and the Raptors away.","Recently, the Canadian government and some of the country's airlines — Air Canada, WestJet, Sunwing, and Air Transat — agreed to cancel flights to Mexico and ...","February 10: Air Canada 8550, Vancouver to Regina;; February 10: Canadian North 5T1501, Terrace to Edmonton;; February 11: Air Canada 114, Vancouver to ...",Montreal – The International Air Transport Association (IATA) recognizes that the immediate focus of the Government of Canada is limiting the spread of ...,"Recently, the Canadian government and some of the country's airlines — Air Canada, WestJet, Sunwing, and Air Transat — agreed to cancel flights to Mexico and ...","That required a clandestine “practice” at the Air Canada Centre late in the 2015-16 season, a night the Leafs were off, the ice was in and the Raptors away."
2021-01-26,0,"There is new guidance from Canada's national advisory committee on ... and Harry: A CBS Primetime Special” will air March 7, CBS announced Monday.","I am grateful for Canada's National Observer's commitment to solutions journalism, which provides these determined, joyful and, yes, hopeful young people a ...","This opens the door for OTA (over-the-air) updates of vehicle software as well as a host of system monitoring, support and customization options. Here's the bottom ...","Fresh air, blazing speed and spacious alpine terrain makes skiing and ... bias — it's an activity that makes a whole lot of sense in Canada — but there's a lot of ...",... Mekong Startups to Mekong Innovations in Sustainable Tourism China Airlines Launches Ultra-Low Temperature Cargo Service Air Canada Suspends Flights ...,Air Canada stock. Air Canada was reaching new heights before the pandemic hit. It was one of the most sought-after growth stocks before the pandemic. Once it ...,Air Canada said in November that it was cancelling orders for 12 Airbus A220s and 10 Boeing 737 Max 8s as the airline was forced to scale down its operations.,"Before assuming the top job in 2009, Calin Rovinescu had worked as Air Canada's Executive Vice President and Chief Restructuring Officer. While at Air Canada, ...","The job cuts meant that Air Canada, Canada's largest airline, essentially cut its workforce in half, from roughly 40,000 people before the pandemic to about 20,000 ...","Transat, which owns Canada's third-largest airline Air Transat, said the EC requested additional information from the parties and now expects to deliver a decision."
2021-01-27,0,A number of other research analysts have also recently commented on the company. ATB Capital upped their price objective on Air Canada (AC.TO) from C$27.50 ...,"If Air Canada can afford $190 million to purchase Air Transat, why are they negotiating with Prime Minister Justin Trudeau for a bailout which is very likely to ...","While Canada's doses of vaccine from Pfizer-BioNTech are made in Belgium, they are being shipped through UPS, which flies them to Canada via its air hub in ...","OTTAWA, Ontario--(BUSINESS WIRE)-- Canada's largest union, and union ... in the sector after Air Canada opted to deny access to their laid-off employees.","Airlines with affected flights include Air Canada, Flair Airlines, and WestJet. Four of these flights were unable to identify which rows were affected.","""When Air Canada returns — and it will return, although it might not be on April 11 as it says on its website — but when it returns, the airport will be ready."" About ...","The vaccine rollout in Canada has not lived up to expectations. ... the moment, the consortium consists of 12 major Canadian companies, including Air Canada, ...","All flights heading to and from Toronto included WestJet, Air Canada, and Flair Airlines. Here's a list of domestic flights with confirmed COVID-19 cases from ...","TORONTO — VISIT FLORIDA and The Weather Network, along with partner Air Canada, have launched 'Wanderlust: Florida', a brand new 4-part docu-series.","On Jan. 13, 2021, Air Canada announced that it was cancelling all flights to Prince Rupert effective Jan. 23 until further notice as part of its COVID-19 Mitigation ..."
2021-01-28,1,"Jim Chung works for Air Canada while Peter Nord has those responsibilities at Sunwing. This report by The Canadian Press was first published Feb. 17, 2021.",(Bloomberg) — The Texas energy crisis that sent power prices surging is also leaving a Canadian renewables company with hedging losses after wind and ...,"Canada's doses of the Pfizer-BioNTech vaccine are made in Belgium, but are routed through the UPS air hub in Kentucky. Heath Canada said provinces could ...","OTTAWA -- Canada is expected to face pressure this week to reverse a recent ... forces continued to rely on coalition air power, surveillance and intelligence.","ByThe Canadian Press. February 17 ... There are, however, different additional rules being put in place for air travellers and those arriving at the land border.",... Jayman offers an Ultraviolet air purification system in the Quantum home to ... We are leading by example in Canada and have met 2050 Net Zero targets as of ...,"(Canada), Technex, Astim (Europe), BD|SENSORS GmbH (Germany), Toro Equipment (Europe), WesTech Engineering Inc. (USA), Lenntech B.V. (Europe), Gulf ...","Collection Hood. Ducting, Air Cleaning Device. Blower. Fans ... North America Market (United States, Canada, Mexico). – Asia Pacific Market (China, Japan, ...","Stressed capitalization rates are individually applied to the post-reorganization NOI produced by each assets type (Tier I malls, Tier II/noncore malls, open air) to ...","This Air Traffic Flow Management Software Market report is dedicated to ... Asia, India, North America (USA, Canada and Mexico) Europe (Germany, France, UK, ..."
2021-01-29,0,Ventilation systems should also be maintained and air conditioning filters should be changed ... This report by The Canadian Press was first published Feb.,“Transat and Air Canada are continuing their discussions regarding potential amendments to the arrangement agreement that may be required. In the context of ...,"Air Canada, United, Ethiopian, KLM, Air India, and several other airlines have all reported windshield cracks while operating their 787s. The issues arose in ...","The 1985 Air India bombing, which killed 331 people, remains the deadliest terrorist plot ever launched in Canada"". ""While attacks around the world in support of ...","Air Canada on Thursday revealed a new special retro livery on one of its new Airbus A220 aircraft. The plane, registered as C-GNBN, features the livery of ...",Air Canada Rouge will no longer operate its service to the Croatian capital Zagreb from Toronto which it introduced back in 2018. “Air Canada Rouge has ...,"Air Canada Vacations invites all agents join these comprehensive package webinars, which will quickly outline not only just how much there is to offer but highlight ...",Air Canada's market dominance has been cemented by its recent deal to buy Air Transat. The airline paid a meagre $190 million to acquire this leisure travel ...,"Air Canada's recent earnings report for 2020 painted a bleak picture, one the company hopes is behind it. It now has $8 billion in liquidity, and reported a 70% ...",The $190-million acquisition by Air Canada that was approved by the federal government remains up in the air as the acquisition was set to be completed by ...
2021-02-01,1,Passengers in rows six to 12 on Air Canada Jazz flight 8050 from Victoria to Vancouver Feb. 12 were exposed to a case of COVID-19. (THE CANADIAN ...,"United Airlines, WestJet and Air Canada began flying the type in January and February. Southwest Airlines, the biggest 737 Max operator, will return it to ...",We continue to work with Air Canada and our leasing customers to help them manage the economic pressures they are facing as a consequence of the sustained ...,"10am - New York City - United Airlines, Air Canada, Lufthansa, Swiss International Airlines, Austrian, Delta Air Lines, Air France, KLM - Royal Dutch Airlines, ...","Two days later, Air Canada flight AC265 from Toronto to Winnipeg reported a positive COVID-19 case on board; however, they were unable to identify affected ...","Air Canada has also laid-off around 1,500 more employees since the travel ban was announced, including 100 call center workers. “Workers in this sector are ...","Following numerous successful implementations with large enterprise customers such as LiUNA and Air Canada, SMEs, First Nations communities, and a ...","TO), Finning International (FII.TO), Ats Automation (ATA.TO), Air Canada (AC.TO), WSP Global (WSP.TO) and Canadian Pacific Railway (CP.TO) are gaining 1.8 ...","... Panalpina, Nippon Express, GEODIS, VersaCold, Agility, DSV, Sinotrans, Kerry Logistics, SF Express, CEVA, CH Robinson, Air Canada Cargo and others.","Air Canada is an associate member. A4A advocates on behalf of the leading U.S. airlines, both passenger and cargo carriers. A4A works collaboratively with ..."
2021-02-02,1,"Last month, Air Canada cut one daily flight from London to Toronto, leaving one remaining. That's a far cry from the 40 flights and 2,500 passengers a day into ...",We continue to work with Air Canada and our leasing customers to help them manage the economic pressures they are facing as a consequence of the sustained ...,"Additionally, the tech has already been deployed in several pilot projects, including at Air Canada, LiUNA and Waywayseecappo First Nation. It's worth noting ...",Air Canada's former President Calin Rovinescu said last week that talks between airlines and the government about sector-specific aid had accelerated and that ...,"Some of the businesses and organizations using TraceSCAN include Air Canada, LiUNA and Waywayseecappo First Nation. Not everyone, however, is happy ...","... Nichirei Logistics Group, Air Canada Cargo, Helapet, Igloo Thermo-Logistics, Kerry Logistics, XPO Logistics, Cold Chain Technologies, Continental Air Cargo, ...","... Panalpina, Igloo Thermo Logistics, Deutsche Post DHL, CEVA Holdings, World Courier, Continental Cargo, Air Canada Cargo, FedEx, Helapet, CSafe.",Air Canada. Virgin America. Etihad. Lufthansa. Gulf Air. China Eastern Airlines. Also Read: ...,"MCL's shoppers incorporate the Metropolis Of Toronto, Air Canada, Toronto District College Board, Maple Leaf Sports activities and Leisure, and Metro Toronto ...",She is asking anyone who travelled on Air Canada Flight AC8302 from Montreal to Charlottetown on Feb. 16 to get tested for COVID-19 if they haven't already ...
2021-02-03,1,Air Canada Cargo. This newly designed research report replicating current market scenario in global Digital Transformation in Logistics market addresses ...,"Air Canada Cargo. In this section of the research report, numerous major producers of the Intelligent Logistics Sales market are mentioned. It also offers insight ...","The man travelled on Air Canada flight AC8302 from Montreal to Charlottetown on Feb. 16, and anyone on that flight who has not been tested for COVID-19 is ...","... the company is orienting its achievement towards mentoring the Air Canada airliner – and more specifically, the vision and leadership of Calin Rovinescu, with ...","The man travelled on Air Canada flight AC8302 from Montreal to Charlottetown on Feb. 16, and anyone on that flight who has not been tested for COVID-19 is ...","... DB Group, FedEx, Nippon Express, World Courier, SF Express, Panalpina, CEVA, Agility, DSV, Kerry Logistics, CH Robinson, VersaCold, Air Canada Cargo ...","The man travelled on Air Canada flight AC8302 from Montreal to Charlottetown on Feb. 16, and anyone on that flight who has not been tested for COVID-19 is ...","The man travelled on Air Canada flight AC8302 from Montreal to Charlottetown on Feb. 16, and anyone on that flight who has not been tested for COVID-19 is ...","The man travelled on Air Canada flight AC8302 from Montreal to Charlottetown on Feb. 16, and anyone on that flight who has not been tested for COVID-19 is ...",... Mekong Startups to Mekong Innovations in Sustainable Tourism China Airlines Launches Ultra-Low Temperature Cargo Service Air Canada Suspends Flights ...
2021-02-04,0,... Mekong Startups to Mekong Innovations in Sustainable Tourism China Airlines Launches Ultra-Low Temperature Cargo Service Air Canada Suspends Flights ...,... Airlines Launches Ultra-Low Temperature Cargo Service Air Canada Suspends Flights to 15 Destinations in Mexico and Caribbean Etihad Airways Continues ...,"... CH Robinson, CEVA, VersaCold, Sinotrans, DSV, Kerry Logistics, Agility, Air Canada Cargo,. Major type covered in the research report: Cold Chain Logistics, ...",GEODIS. VersaCold. Agility. DSV. Sinotrans. Kerry Logistics. SF Express. CEVA. CH Robinson. Air Canada Cargo. Direct Purchase this Market Research Report ...,"Air Canada CEVA Logistics DB Schenker Deutsche Post AG FedEx LifeConEx. Marken United Parcel Service of America, Inc. VersaCold Logistics Services.",Air Canada Cargo By Types: • Cold Chain Logistics • Non-cold Chain Logistics By Applications: • Ground Shipping • Sea Shipping • Air Shipping Geographically ...,"The key players in the global airline ancillary services market are Air Canada (Canada), Air France-KLM (France), Alaska Air Group, Inc. (US), American Airlines, ...",Air Canada. Virgin America. Etihad. Lufthansa. Gulf Air. China Eastern Airlines. Also Read: ...,CEVA; Yusen Logistics; World Courier; VersaCold; Air Canada Cargo; Agility. To Understand How Covid-19 Impact Is Covered in This Report – ...,
